x1,x2
9.370892691,9.490087907
8.577169624,9.736500713
9.559610673,10.93501914
10.65378732,10.80950608
8.457308282,10.23084021
8.457328804,10.3575501
10.72401602,11.42119282
9.709293411,9.707726227
8.163157018,10.75150593
9.428200054,10.06465674
8.170727884,10.0504589
8.167837808,11.25721211
9.052452839,11.00663165
6.358399694,10.99571717
6.593852709,11.44668891
8.047140588,10.26925352
7.4839611,10.87512356
9.142809166,9.965588806
7.614969906,10.54715249
6.984620373,10.1307022
10.58206096,10.33891297
8.467779624,10.79556061
8.834410256,9.499964374
6.969064767,12.16802167
8.069521594,9.3278174
8.888653237,9.136993772
7.311258028,11.31160163
9.219622523,10.9756908
7.999201638,10.82210983
8.385382813,10.82598338
7.997866735,10.23877379
11.06534773,9.427516826
8.733128469,10.31948751
7.427861339,9.629268431
9.77818114,11.14385976
7.223945438,10.1151974
9.011079494,9.493294236
6.300412345,9.955396312
7.089767439,10.6285205
8.996076545,9.733252493
9.673083225,9.496297971
8.964210351,10.47337994
8.605439647,10.47455269
8.373620381,9.785302089
6.901847512,9.818214887
7.85019474,10.46271244
8.174201536,8.922589354
10.07140278,8.959824873
9.179522862,9.591426131
6.546199806,10.05434011
9.155104962,10.5349986
8.268647149,11.60240987
7.9038475,11.03618799
9.514595361,10.10338968
10.0387494,10.23256848
9.914100149,9.331014749
7.700978096,10.23302963
8.36348453,9.985396248
9.164079289,10.54582535
9.969431409,9.491704968
8.151032203,10.72606764
8.517926279,11.65501067
7.367081282,10.1503032
7.25474172,10.61823575
9.765657278,10.88263199
10.44530004,9.882214567
8.659987348,10.45541811
10.00441612,10.26154303
9.202045031,10.33953642
7.943600307,9.541407698
9.201744507,10.27246766
10.67254571,10.70649843
8.705217451,11.58021497
10.70580457,11.12933159
5.47531862,12.22375059
9.77737813,9.546598067
8.858808835,11.04962725
8.376240812,10.41806351
8.864700971,12.25731936
6.265538857,9.509059905
8.47541014,9.480254978
9.196390714,9.700556742
10.59736756,8.303095586
8.102162227,9.768057897
7.739382996,9.554128394
8.122803696,10.38786097
9.894252647,10.56327631
9.160938887,11.96982327
8.087799745,11.12122185
9.391584291,9.721171649
8.871346937,9.426453218
9.960806238,10.70092591
7.872433633,9.039786227
8.340422317,11.9288372
8.259864809,11.33115344
6.920606315,9.819922319
9.120150346,8.679626682
9.07631909,11.49104968
8.756391821,10.14500514
8.456766083,11.38466495
